rout,GAMMA,T_SPIN_COHERENCE,L,eta_d,p_dc,ep_depol,best_solutions_fitness,best_solution
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1000000.0,0.95,1e-06,5e-05,505.6769736345635,[5 29 6 737.3868909595283]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1000000.0,0.95,3.162277660168379e-06,5e-05,486.20205939008594,[5 29 6 738.1384111596738]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1000000.0,0.95,1e-05,5e-05,426.8424072304606,[5 29 6 740.5645397046841]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1000000.0,0.95,3.1622776601683795e-05,5e-05,260.6311310635916,[4 29 6 720.3625995959985]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1000000.0,0.95,0.0001,5e-05,2.401120851433434e-17,[1 1 29 24.1540188963781]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1000000.0,0.96,1e-06,5e-05,677.4753883901338,[5 29 6 655.2009055443854]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1000000.0,0.96,3.162277660168379e-06,5e-05,656.1527473784826,[5 29 6 656.21389295168]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1000000.0,0.96,1e-05,5e-05,591.0303439264776,[5 29 6 659.458285618892]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1000000.0,0.96,3.1622776601683795e-05,5e-05,410.7428228531764,[4 29 6 653.378456766699]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1000000.0,0.96,0.0001,5e-05,3.194299637184132e-17,[1 1 29 24.311585936531092]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1000000.0,0.97,1e-06,5e-05,866.1104944040153,[4 27 6 618.9456742248957]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1000000.0,0.97,3.162277660168379e-06,5e-05,843.5938840893613,[4 27 6 619.4725432344471]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1000000.0,0.97,1e-05,5e-05,774.731665953737,[4 28 6 604.2414221801546]
