rout,GAMMA,T_SPIN_COHERENCE,L,eta_d,p_dc,ep_depol,best_solutions_fitness,best_solution
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1000000.0,1,0,5e-05,1767.4239391417343,[4 16 5 579.8669334734134]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1000000.0,1,0,6e-05,1616.6094566510874,[4 17 5 553.5842900121031]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1000000.0,1,0,7e-05,1470.9512768114803,[4 17 5 555.1907091465329]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1000000.0,1,0,7.999999999999999e-05,1333.5910968668725,[4 24 6 512.1102076839315]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1000000.0,1,0,8.999999999999999e-05,1203.6356633917023,[4 18 5 534.8066715210315]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1000000.0,1,0,0.0001,1152.0996041271903,[4 25 6 501.56928206444684]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1000000.0,1,0,0.000105,1109.3642206623138,[4 25 6 502.548234796716]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1000000.0,1,0,0.00011,1067.3450338978537,[4 25 6 503.52884889495385]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1000000.0,1,0,0.000115,1027.5939842854566,[4 26 6 491.19754110254416]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1000000.0,1,0,0.00012,988.2669713126917,[4 26 6 492.09819532478747]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1000000.0,1,0,0.000125,949.5467157300186,[4 26 6 493.0005760971795]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1000000.0,1,0,0.00013000000000000002,911.4117480109815,[4 26 6 493.90529070047086]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1000000.0,1,0,0.000135,874.6967123094655,[4 27 6 482.72935228300304]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1000000.0,1,0,0.00014,838.8473298494062,[4 27 6 483.56081543125424]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1000000.0,1,0,0.000145,803.5040736794351,[4 27 6 484.3950854642264]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1000000.0,1,0,0.00015000000000000001,767.7424474833326,[4 28 6 474.30646343223896]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1000000.0,1,0,0.000155,734.4216975365664,[4 28 6 475.0737751258938]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1000000.0,1,0,0.00015999999999999999,700.3622865362825,[4 27 6 486.91507424719293]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1000000.0,1,0,0.000165,411.26500144814787,[4 20 5 505.7155985748266]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1000000.0,1,0,0.00017,637.0707823379666,[4 28 6 477.3930006867355]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1000000.0,1,0,0.000175,605.4527165457096,[4 28 6 478.1727934969733]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1000000.0,1,0,0.00017999999999999998,574.2332620875244,[4 28 6 478.9565985138915]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1000000.0,1,0,0.000185,544.7507835372224,[4 29 6 469.5682710859154]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1000000.0,1,0,0.00019,515.1920202348055,[4 29 6 470.2902313132148]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1000000.0,1,0,0.000195,9.620691222582948e-17,[1 1 29 25.180421869991005]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,4e-06,1000000.0,1,0,5e-05,4.9358814768753055e-17,[1 2 27 28.445716589419856]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,4e-06,1000000.0,1,0,6e-05,0.0,
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,4e-06,1000000.0,1,0,7e-05,1.9487416931429207e-18,[1 1 28 73.23133061374197]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,4e-06,1000000.0,1,0,7.999999999999999e-05,6.222358990059476e-18,[1 1 29 59.44979450467617]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,4e-06,1000000.0,1,0,8.999999999999999e-05,4.9614636373007997e-17,[1 3 29 27.981807042316774]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,4e-06,1000000.0,1,0,0.0001,2.6240349132723973e-17,[1 1 28 42.10808506672547]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,4e-06,1000000.0,1,0,0.000105,7.471719429860297e-18,[1 1 29 56.68746096103081]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,4e-06,1000000.0,1,0,0.00011,2.8923826260456324e-18,[2 2 29 65.56835029368739]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,4e-06,1000000.0,1,0,0.000115,9.223824595023899e-21,[1 3 27 140.91434983324112]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,4e-06,1000000.0,1,0,0.00012,1.4633183587381132e-21,[1 4 27 163.04842244414547]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,4e-06,1000000.0,1,0,0.000125,8.258845369828643e-17,[1 1 29 27.235583525041914]
