rout,GAMMA,T_SPIN_COHERENCE,L,eta_d,p_dc,ep_depol,best_solutions_fitness,best_solution
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1000000.0,1,0,0.0002,457.13453168413577,[4 29 6 471.7457832399068]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1000000.0,1,0,0.000201,9.60352577703724e-17,[1 1 29 25.18017455327344]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1000000.0,1,0,0.000202,9.600673216061402e-17,[1 1 29 25.18013342380841]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1000000.0,1,0,0.000203,439.98560795252587,[4 29 6 472.1857030773545]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1000000.0,1,0,0.000204,9.594975144238547e-17,[1 1 29 25.18005117019189]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1000000.0,1,0,0.000205,428.6203103655386,[4 29 6 472.48001246481306]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1000000.0,1,0,0.000206,422.95768587375727,[4 29 6 472.62755103443595]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1000000.0,1,0,0.000207,9.586445493381488e-17,[1 1 29 25.17992796292593]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1000000.0,1,0,0.000208,411.6722055315309,[4 29 6 472.92266459107253]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1000000.0,1,0,0.00020899999999999998,406.04923925387044,[4 29 6 473.07099322318504]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1000000.0,1,0,0.00020999999999999998,400.4393828002412,[4 29 6 473.2189765115404]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1000000.0,1,0,0.00021099999999999998,394.84258221747166,[4 29 6 473.36713632970844]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1000000.0,1,0,0.00021199999999999998,389.2587840434587,[4 29 6 473.5156553619536]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1000000.0,1,0,0.00021299999999999997,383.68793530504786,[4 29 6 473.66474854020635]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1000000.0,1,0,0.00021399999999999997,378.129983508828,[4 29 6 473.8132967630258]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1000000.0,1,0,0.00021499999999999997,9.563800101243921e-17,[1 1 29 25.179600197505444]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1000000.0,1,0,0.00021599999999999996,367.0525630977833,[4 29 6 474.11186279760284]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1000000.0,1,0,0.00021699999999999996,361.53299182826703,[4 29 6 474.26143845490265]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1000000.0,1,0,0.00021799999999999996,9.555344903146339e-17,[1 1 29 25.179477583437713]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1000000.0,1,0,0.00021899999999999996,350.5318739347463,[4 29 6 474.56089072827257]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1000000.0,1,0,0.00021999999999999995,345.050227356093,[4 29 6 474.71081777189534]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1000000.0,1,0,0.00022099999999999995,9.546909368961266e-17,[1 1 29 25.17935512841969]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1000000.0,1,0,0.00022199999999999995,334.12451233892205,[4 29 6 475.01196119976885]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1000000.0,1,0,0.00022299999999999995,9.541296474821635e-17,[1 1 29 25.179273582321628]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1000000.0,1,0,0.00022399999999999994,323.2485776897656,[4 29 6 475.3139408968433]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1000000.0,1,0,0.00022499999999999994,9.535692128602668e-17,[1 1 29 25.179192093451444]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1000000.0,1,0,0.00022599999999999994,312.42204069416243,[4 29 6 475.616505175234]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1000000.0,1,0,0.00022699999999999993,307.0271785102724,[4 29 6 475.76838582049544]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1000000.0,1,0,0.00022799999999999993,301.64452517186885,[4 29 6 475.92016032236313]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1000000.0,1,0,0.00022899999999999993,9.524508784402603e-17,[1 1 29 25.179029319695758]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1000000.0,1,0,0.00022999999999999993,9.521718176424005e-17,[1 1 29 25.178988664825194]
