rout,GAMMA,T_SPIN_COHERENCE,L,eta_d,p_dc,ep_depol,best_solutions_fitness,best_solution
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1000000.0,1,0,0.0002,457.13453168229313,[4 29 6 471.74576524682993]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1000000.0,1,0,0.00021,408.5829625595253,[4 42 7 460.9032094969526]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1000000.0,1,0,0.00022,370.4400324847416,[4 43 7 456.9836462215489]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1000000.0,1,0,0.00023,333.78987455725684,[4 43 7 458.25649621112734]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1000000.0,1,0,0.00024,298.439695943742,[4 44 7 454.55559670403886]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1000000.0,1,0,0.00025,264.24569879810065,[4 45 7 451.1104289835912]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1000000.0,1,0,0.00026000000000000003,231.15425708929953,[4 46 7 447.9053290746591]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1000000.0,1,0,0.00027,199.30459976763888,[4 46 7 449.04085068857654]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1000000.0,1,0,0.00028,168.4663711301918,[4 47 7 446.0226779135233]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1000000.0,1,0,0.00029,138.5771555109165,[4 48 7 443.2190376419286]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1000000.0,1,0,0.00030000000000000003,109.60553117442375,[4 48 7 444.2863047464055]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1000000.0,1,0,0.00031,81.68172136764964,[4 49 7 441.652968554581]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1000000.0,1,0,0.00031999999999999997,54.26178677341559,[4 49 7 442.69631290852186]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1000000.0,1,0,0.00033,27.331530008183837,[4 49 7 443.74574501056446]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1000000.0,1,0,0.00034,11.599305950236038,[3 48 7 428.39095300593306]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1000000.0,1,0,0.00035,2.622073579233201e-63,[3 24 8 86.77448483709051]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1000000.0,1,0,0.00035999999999999997,0.0,
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1000000.0,1,0,0.00037,7.184139867243988e-62,[3 23 8 92.99955781251558]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1000000.0,1,0,0.00038,7.746176290776179e-152,[3 22 9 21.918262405100354]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1000000.0,1,0,0.00039,0.0,
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1000000.0,1,0,0.00039999999999999996,9.998791355453786e-62,[3 26 9 102.44340448437252]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1000000.0,1,0,0.00041,4.099016046414971e-63,[3 30 9 97.12963588471716]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1000000.0,1,0,0.00042,0.0,
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1000000.0,1,0,0.00043,0.0,
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1000000.0,1,0,0.00043999999999999996,3.434959943765781e-63,[3 24 9 100.07713475613039]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1000000.0,1,0,0.00045,0.0,
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1000000.0,1,0,0.00046,0.0,
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1000000.0,1,0,0.00046999999999999993,1.07502231750875e-66,[3 20 9 80.2170257446156]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1000000.0,1,0,0.00047999999999999996,0.0,
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1000000.0,1,0,0.00049,0.0,
<class 'key_rate_optimization.tgs_f_routine'>,628318530717.9586,4e-06,1000000.0,1,0,0.0002,56036.65521986242,[4 41 7 354.6984627265206]
<class 'key_rate_optimization.tgs_f_routine'>,628318530717.9586,4e-06,1000000.0,1,0,0.00021,53028.51115400082,[4 40 7 360.3922596930351]
<class 'key_rate_optimization.tgs_f_routine'>,628318530717.9586,4e-06,1000000.0,1,0,0.00022,50138.211629461905,[4 41 7 355.5584108763552]
<class 'key_rate_optimization.tgs_f_routine'>,628318530717.9586,4e-06,1000000.0,1,0,0.00023,47329.93494720471,[4 42 7 350.9989029016978]
<class 'key_rate_optimization.tgs_f_routine'>,628318530717.9586,4e-06,1000000.0,1,0,0.00024,44562.7563136007,[4 42 7 351.38467731085814]
<class 'key_rate_optimization.tgs_f_routine'>,628318530717.9586,4e-06,1000000.0,1,0,0.00025,41947.708940648,[4 44 7 342.62571596435373]
<class 'key_rate_optimization.tgs_f_routine'>,628318530717.9586,4e-06,1000000.0,1,0,0.00026000000000000003,39385.45884703438,[4 44 7 342.9467369061378]
<class 'key_rate_optimization.tgs_f_routine'>,628318530717.9586,4e-06,1000000.0,1,0,0.00027,36899.64819469531,[4 45 7 339.07002653489934]
<class 'key_rate_optimization.tgs_f_routine'>,628318530717.9586,4e-06,1000000.0,1,0,0.00028,34479.75055315324,[4 46 7 335.40045095075334]
<class 'key_rate_optimization.tgs_f_routine'>,628318530717.9586,4e-06,1000000.0,1,0,0.00029,32131.984391868096,[4 46 7 335.663343043274]
<class 'key_rate_optimization.tgs_f_routine'>,628318530717.9586,4e-06,1000000.0,1,0,0.00030000000000000003,29857.742588751236,[4 47 7 332.16299977376855]
<class 'key_rate_optimization.tgs_f_routine'>,628318530717.9586,4e-06,1000000.0,1,0,0.00031,27621.790913835073,[4 47 7 332.39925324463746]
<class 'key_rate_optimization.tgs_f_routine'>,628318530717.9586,4e-06,1000000.0,1,0,0.00031999999999999997,25481.807385123644,[4 49 7 325.6996808245913]
<class 'key_rate_optimization.tgs_f_routine'>,628318530717.9586,4e-06,1000000.0,1,0,0.00033,23393.36696366981,[4 49 7 325.89052499614905]
<class 'key_rate_optimization.tgs_f_routine'>,628318530717.9586,4e-06,1000000.0,1,0,0.00034,18441.46626711719,[4 49 8 371.74442126461724]
<class 'key_rate_optimization.tgs_f_routine'>,628318530717.9586,4e-06,1000000.0,1,0,0.00035,19295.83663091298,[4 49 7 326.2710667397747]
