rout,GAMMA,T_SPIN_COHERENCE,L,best_solutions_fitness,best_solution
<class 'key_rate_optimization.tgs_a_routine'>,62831853.071795866,1e-07,3000000.0,0.0,
<class 'key_rate_optimization.tgs_f_routine'>,62831853.071795866,1e-07,3000000.0,0.0,
<class 'key_rate_optimization.rgs_a_routine'>,62831853.071795866,1e-07,3000000.0,0.0,
<class 'key_rate_optimization.rgs_f_routine'>,62831853.071795866,1e-07,3000000.0,0.0,
<class 'key_rate_optimization.tgs_a_routine'>,62831853.071795866,1e-06,3000000.0,0.0,
<class 'key_rate_optimization.tgs_f_routine'>,62831853.071795866,1e-06,3000000.0,0.0,
<class 'key_rate_optimization.rgs_a_routine'>,62831853.071795866,1e-06,3000000.0,0.0,
<class 'key_rate_optimization.rgs_f_routine'>,62831853.071795866,1e-06,3000000.0,0.0,
<class 'key_rate_optimization.tgs_a_routine'>,62831853.071795866,1e-05,3000000.0,0.0,
<class 'key_rate_optimization.tgs_f_routine'>,62831853.071795866,1e-05,3000000.0,0.0,
<class 'key_rate_optimization.rgs_a_routine'>,62831853.071795866,1e-05,3000000.0,0.0,
<class 'key_rate_optimization.rgs_f_routine'>,62831853.071795866,1e-05,3000000.0,0.0,
<class 'key_rate_optimization.tgs_a_routine'>,62831853.071795866,0.0001,3000000.0,7.1974003339036105e-65,[1 3 29 113.88102254659219]
<class 'key_rate_optimization.tgs_f_routine'>,62831853.071795866,0.0001,3000000.0,0.0,
<class 'key_rate_optimization.rgs_a_routine'>,62831853.071795866,0.0001,3000000.0,0.0,
<class 'key_rate_optimization.rgs_f_routine'>,62831853.071795866,0.0001,3000000.0,0.0,
<class 'key_rate_optimization.tgs_a_routine'>,62831853.071795866,0.001,3000000.0,5.9152107126063864e-64,[1 1 29 88.12385541520172]
<class 'key_rate_optimization.tgs_f_routine'>,62831853.071795866,0.001,3000000.0,7.491778774580376e-155,[1 2 29 14.356788444380335]
<class 'key_rate_optimization.rgs_a_routine'>,62831853.071795866,0.001,3000000.0,3.562356505495385e-161,[1 10 16 1628.6664392929117]
<class 'key_rate_optimization.rgs_f_routine'>,62831853.071795866,0.001,3000000.0,0.0,
<class 'key_rate_optimization.tgs_a_routine'>,62831853.071795866,0.01,3000000.0,7.061244414600641e-64,[1 1 29 88.21157700279088]
<class 'key_rate_optimization.tgs_f_routine'>,62831853.071795866,0.01,3000000.0,1.4118573337878303e-67,[1 1 29 81.09428647968595]
<class 'key_rate_optimization.rgs_a_routine'>,62831853.071795866,0.01,3000000.0,1.1195231973725661e-89,[29 1 2 67.46451134257494]
<class 'key_rate_optimization.rgs_f_routine'>,62831853.071795866,0.01,3000000.0,0.0,
