,rout,GAMMA,T_SPIN_COHERENCE,L,best_solutions_fitness,best_solution
2,<class 'key_rate_optimization.rgs_a_routine'>,62831853.071795866,1e-07,3000000.0,0.0,
46,<class 'key_rate_optimization.rgs_a_routine'>,628318530.7179586,1e-07,3000000.0,0.0,
90,<class 'key_rate_optimization.rgs_a_routine'>,6283185307.179586,1e-07,3000000.0,0.0,
134,<class 'key_rate_optimization.rgs_a_routine'>,62831853071.79586,1e-07,3000000.0,0.0,
178,<class 'key_rate_optimization.rgs_a_routine'>,628318530717.9586,1e-07,3000000.0,0.0,
222,<class 'key_rate_optimization.rgs_a_routine'>,6283185307179.586,1e-07,3000000.0,0.0,
266,<class 'key_rate_optimization.rgs_a_routine'>,62831853071795.86,1e-07,3000000.0,0.0,
310,<class 'key_rate_optimization.rgs_a_routine'>,628318530717958.6,1e-07,3000000.0,0.0,
354,<class 'key_rate_optimization.rgs_a_routine'>,6283185307179586.0,1e-07,3000000.0,0.0,
6,<class 'key_rate_optimization.rgs_a_routine'>,62831853.071795866,1e-06,3000000.0,0.0,
50,<class 'key_rate_optimization.rgs_a_routine'>,628318530.7179586,1e-06,3000000.0,0.0,
94,<class 'key_rate_optimization.rgs_a_routine'>,6283185307.179586,1e-06,3000000.0,0.0,
138,<class 'key_rate_optimization.rgs_a_routine'>,62831853071.79586,1e-06,3000000.0,0.0,
182,<class 'key_rate_optimization.rgs_a_routine'>,628318530717.9586,1e-06,3000000.0,0.0,
226,<class 'key_rate_optimization.rgs_a_routine'>,6283185307179.586,1e-06,3000000.0,0.0,
270,<class 'key_rate_optimization.rgs_a_routine'>,62831853071795.86,1e-06,3000000.0,0.0,
314,<class 'key_rate_optimization.rgs_a_routine'>,628318530717958.6,1e-06,3000000.0,0.0,
358,<class 'key_rate_optimization.rgs_a_routine'>,6283185307179586.0,1e-06,3000000.0,0.0,
10,<class 'key_rate_optimization.rgs_a_routine'>,62831853.071795866,1e-05,3000000.0,0.0,
54,<class 'key_rate_optimization.rgs_a_routine'>,628318530.7179586,1e-05,3000000.0,0.0,
98,<class 'key_rate_optimization.rgs_a_routine'>,6283185307.179586,1e-05,3000000.0,0.0,
142,<class 'key_rate_optimization.rgs_a_routine'>,62831853071.79586,1e-05,3000000.0,0.0,
186,<class 'key_rate_optimization.rgs_a_routine'>,628318530717.9586,1e-05,3000000.0,0.0,
230,<class 'key_rate_optimization.rgs_a_routine'>,6283185307179.586,1e-05,3000000.0,0.0,
274,<class 'key_rate_optimization.rgs_a_routine'>,62831853071795.86,1e-05,3000000.0,0.0,
318,<class 'key_rate_optimization.rgs_a_routine'>,628318530717958.6,1e-05,3000000.0,0.0,
362,<class 'key_rate_optimization.rgs_a_routine'>,6283185307179586.0,1e-05,3000000.0,0.0,
14,<class 'key_rate_optimization.rgs_a_routine'>,62831853.071795866,0.0001,3000000.0,0.0,
58,<class 'key_rate_optimization.rgs_a_routine'>,628318530.7179586,0.0001,3000000.0,0.0,
102,<class 'key_rate_optimization.rgs_a_routine'>,6283185307.179586,0.0001,3000000.0,5.154536401805729e-160,[28 2 2 12.028410155274694]
146,<class 'key_rate_optimization.rgs_a_routine'>,62831853071.79586,0.0001,3000000.0,0.0,
190,<class 'key_rate_optimization.rgs_a_routine'>,628318530717.9586,0.0001,3000000.0,0.0,
234,<class 'key_rate_optimization.rgs_a_routine'>,6283185307179.586,0.0001,3000000.0,0.0,
278,<class 'key_rate_optimization.rgs_a_routine'>,62831853071795.86,0.0001,3000000.0,0.0,
322,<class 'key_rate_optimization.rgs_a_routine'>,628318530717958.6,0.0001,3000000.0,1.4839205376774186e-93,[29 2 2 48.87513126307932]
366,<class 'key_rate_optimization.rgs_a_routine'>,6283185307179586.0,0.0001,3000000.0,0.0,
18,<class 'key_rate_optimization.rgs_a_routine'>,62831853.071795866,0.001,3000000.0,3.562356505495385e-161,[1 10 16 1628.6664392929117]
62,<class 'key_rate_optimization.rgs_a_routine'>,628318530.7179586,0.001,3000000.0,4.5840086594246105e-88,[29 1 2 65.17068868041954]
106,<class 'key_rate_optimization.rgs_a_routine'>,6283185307.179586,0.001,3000000.0,4.7862010477867765,[29 8 34 898.5147401829663]
150,<class 'key_rate_optimization.rgs_a_routine'>,62831853071.79586,0.001,3000000.0,0.2524789964424104,[28 7 22 788.5623150247508]
194,<class 'key_rate_optimization.rgs_a_routine'>,628318530717.9586,0.001,3000000.0,6.409385822780621,[29 8 34 901.7141445302276]
238,<class 'key_rate_optimization.rgs_a_routine'>,6283185307179.586,0.001,3000000.0,7.610155650476612e-88,[29 1 2 64.92170383542175]
282,<class 'key_rate_optimization.rgs_a_routine'>,62831853071795.86,0.001,3000000.0,6.426778697594893,[29 8 34 901.743004261605]
326,<class 'key_rate_optimization.rgs_a_routine'>,628318530717958.6,0.001,3000000.0,6.4269369149077376,[29 8 34 901.743167641156]
370,<class 'key_rate_optimization.rgs_a_routine'>,6283185307179586.0,0.001,3000000.0,0.1587683339691435,[29 7 24 716.6042908340537]
22,<class 'key_rate_optimization.rgs_a_routine'>,62831853.071795866,0.01,3000000.0,1.1195231973725661e-89,[29 1 2 67.46451134257494]
66,<class 'key_rate_optimization.rgs_a_routine'>,628318530.7179586,0.01,3000000.0,2.506641342182592,[26 7 28 896.5358929825245]
110,<class 'key_rate_optimization.rgs_a_routine'>,6283185307.179586,0.01,3000000.0,20.547929856891244,[29 8 36 981.1378650545233]
154,<class 'key_rate_optimization.rgs_a_routine'>,62831853071.79586,0.01,3000000.0,13.742255350039104,[26 7 32 883.4176711930235]
198,<class 'key_rate_optimization.rgs_a_routine'>,628318530717.9586,0.01,3000000.0,22.98410147026416,[29 8 36 975.9783317426802]
242,<class 'key_rate_optimization.rgs_a_routine'>,6283185307179.586,0.01,3000000.0,23.00715955310813,[29 8 36 975.9347265125117]
286,<class 'key_rate_optimization.rgs_a_routine'>,62831853071795.86,0.01,3000000.0,13.925511120892414,[26 7 32 883.269802019934]
330,<class 'key_rate_optimization.rgs_a_routine'>,628318530717958.6,0.01,3000000.0,23.009696967018392,[29 8 36 975.9329537074526]
374,<class 'key_rate_optimization.rgs_a_routine'>,6283185307179586.0,0.01,3000000.0,23.00972003931778,[29 8 36 975.9275631512381]
26,<class 'key_rate_optimization.rgs_a_routine'>,62831853.071795866,0.1,3000000.0,1.1541139981979937e-89,[29 1 2 67.46410166547295]
70,<class 'key_rate_optimization.rgs_a_routine'>,628318530.7179586,0.1,3000000.0,3.864977028108718,[26 7 30 905.808651244649]
114,<class 'key_rate_optimization.rgs_a_routine'>,6283185307.179586,0.1,3000000.0,22.47161788372376,[29 8 36 987.7283674297906]
158,<class 'key_rate_optimization.rgs_a_routine'>,62831853071.79586,0.1,3000000.0,24.72831398441456,[29 8 36 982.5708070902267]
202,<class 'key_rate_optimization.rgs_a_routine'>,628318530717.9586,0.1,3000000.0,24.9629061162757,[29 8 36 982.0499731517817]
246,<class 'key_rate_optimization.rgs_a_routine'>,6283185307179.586,0.1,3000000.0,24.986456857841183,[29 8 36 981.9971944872509]
290,<class 'key_rate_optimization.rgs_a_routine'>,62831853071795.86,0.1,3000000.0,24.86148495333051,[28 8 36 999.1903617170062]
334,<class 'key_rate_optimization.rgs_a_routine'>,628318530717958.6,0.1,3000000.0,0.0,
378,<class 'key_rate_optimization.rgs_a_routine'>,6283185307179586.0,0.1,3000000.0,24.989072017232655,[29 8 36 981.9911502201494]
30,<class 'key_rate_optimization.rgs_a_routine'>,62831853.071795866,1.0,3000000.0,1.1576522784511244e-89,[29 1 2 67.46406078597859]
74,<class 'key_rate_optimization.rgs_a_routine'>,628318530.7179586,1.0,3000000.0,7.233094772543197,[29 8 34 1031.116484556033]
118,<class 'key_rate_optimization.rgs_a_routine'>,6283185307.179586,1.0,3000000.0,22.66685639337947,[29 8 36 988.3705644773164]
162,<class 'key_rate_optimization.rgs_a_routine'>,62831853071.79586,1.0,3000000.0,24.928424126966465,[29 8 36 983.1716847515092]
