rout,GAMMA,T_SPIN_COHERENCE,L,best_solutions_fitness,best_solution
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1000.0,10992954727263.463,[1 1 3 5.6568155792491315e-06]
<class 'key_rate_optimization.tgs_f_routine'>,12566370614.359173,0.013,1000.0,19577884663351.555,[1 1 3 5.6568155792491315e-06]
<class 'key_rate_optimization.rgs_a_routine'>,12566370614.359173,0.013,1000.0,1946825520.3944118,[4 8 1 3.431837137959518e-06]
<class 'key_rate_optimization.rgs_f_routine'>,12566370614.359173,0.013,1000.0,12832114605.059868,[1 1 1 5.6568155792491315e-06]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,158842.1052631579,37451.86412239025,[3 10 4 68.16773241920048]
<class 'key_rate_optimization.tgs_f_routine'>,12566370614.359173,0.013,158842.1052631579,52745.129205116,[3 10 4 77.76566100196001]
<class 'key_rate_optimization.rgs_a_routine'>,12566370614.359173,0.013,158842.1052631579,950.4589325001307,[13 5 22 39.34338940603745]
<class 'key_rate_optimization.rgs_f_routine'>,12566370614.359173,0.013,158842.1052631579,74.66716601780206,[9 4 14 58.79786142097473]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,316684.2105263158,11270.498840306958,[4 11 4 159.02817230641034]
<class 'key_rate_optimization.tgs_f_routine'>,12566370614.359173,0.013,316684.2105263158,13935.476296617075,[3 10 4 201.6464968894778]
<class 'key_rate_optimization.rgs_a_routine'>,12566370614.359173,0.013,316684.2105263158,616.1232518819011,[17 6 26 88.34490867098303]
<class 'key_rate_optimization.rgs_f_routine'>,12566370614.359173,0.013,316684.2105263158,0.4469817087525771,[14 5 13 126.93002916349064]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,474526.3157894737,6035.838159339735,[4 16 5 231.86398486874282]
<class 'key_rate_optimization.tgs_f_routine'>,12566370614.359173,0.013,474526.3157894737,5447.193426723549,[3 10 4 347.61415702099765]
<class 'key_rate_optimization.rgs_a_routine'>,12566370614.359173,0.013,474526.3157894737,462.42823435783646,[17 6 28 145.68509209585898]
<class 'key_rate_optimization.rgs_f_routine'>,12566370614.359173,0.013,474526.3157894737,0.0037459423833475472,[14 5 13 195.3205810531873]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,632368.4210526316,3856.1408396237453,[4 17 5 314.94367563997434]
<class 'key_rate_optimization.tgs_f_routine'>,12566370614.359173,0.013,632368.4210526316,2470.4427444959542,[3 10 4 505.26148615692574]
<class 'key_rate_optimization.rgs_a_routine'>,12566370614.359173,0.013,632368.4210526316,366.27895182870265,[24 7 30 182.34639674386088]
