rout,GAMMA,T_SPIN_COHERENCE,L,best_solutions_fitness,best_solution
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1000.0,59025365.577250406,[1 1 4 1.000005656815579]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,158842.1052631579,37451.864122394145,[3 10 4 68.16772548223206]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,316684.2105263158,10910.970799056573,[4 16 5 140.31909952117329]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,474526.3157894737,6035.8381593392305,[4 16 5 231.86390482330796]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,632368.4210526316,3864.5370307246426,[4 16 5 330.6453486965448]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,790210.5263157894,2677.4308355388384,[4 16 5 434.8991031400288]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,948052.6315789474,1949.1972595310183,[4 17 5 517.2989430908526]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1105894.7368421052,1463.393024428404,[4 16 5 655.1880223191495]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1263736.8421052631,1130.1060736464726,[4 17 5 732.6180934497942]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1421578.9473684211,886.9455744153365,[4 23 6 789.8802628983061]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1579421.0526315789,723.6890265663072,[4 23 6 893.2565764018868]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1737263.1578947369,596.4634827522553,[4 23 6 997.6770271006833]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1895105.2631578948,501.21549543308447,[5 26 6 995.1542028196293]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,2052947.3684210526,427.90856974291944,[5 26 6 1089.6046168915268]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,2210789.4736842103,367.71875603815204,[5 27 6 1153.3041150778904]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,2368631.5789473685,316.9387601176315,[5 27 6 1246.0865505724717]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,2526473.6842105263,273.84080334485424,[5 27 6 1339.070094284163]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,2684315.789473684,236.95102609367362,[5 27 6 1432.1261286290523]
