rout,GAMMA,T_SPIN_COHERENCE,L,eta_d,p_dc,ep_depol,best_solutions_fitness,best_solution
<class 'key_rate_optimization.tgs_a_routine'>,62831.853071795864,1e-07,1000000.0,1,0,5e-05,0.0,
<class 'key_rate_optimization.tgs_a_routine'>,62831.853071795864,1e-06,1000000.0,1,0,5e-05,0.0,
<class 'key_rate_optimization.tgs_a_routine'>,62831.853071795864,1e-05,1000000.0,1,0,5e-05,0.0,
<class 'key_rate_optimization.tgs_a_routine'>,62831.853071795864,0.0001,1000000.0,1,0,5e-05,0.0,
<class 'key_rate_optimization.tgs_a_routine'>,62831.853071795864,0.001,1000000.0,1,0,5e-05,0.0,
<class 'key_rate_optimization.tgs_a_routine'>,62831.853071795864,0.01,1000000.0,1,0,5e-05,0.0,
<class 'key_rate_optimization.tgs_a_routine'>,62831.853071795864,0.1,1000000.0,1,0,5e-05,0.0,
<class 'key_rate_optimization.tgs_a_routine'>,62831.853071795864,1.0,1000000.0,1,0,5e-05,0.0,
<class 'key_rate_optimization.tgs_a_routine'>,62831.853071795864,10.0,1000000.0,1,0,5e-05,0.0,
<class 'key_rate_optimization.tgs_a_routine'>,62831.853071795864,100.0,1000000.0,1,0,5e-05,0.0,
<class 'key_rate_optimization.tgs_a_routine'>,62831.853071795864,1000.0,1000000.0,1,0,5e-05,0.0,
<class 'key_rate_optimization.tgs_a_routine'>,628318.5307179586,1e-07,1000000.0,1,0,5e-05,0.0,
<class 'key_rate_optimization.tgs_a_routine'>,628318.5307179586,1e-06,1000000.0,1,0,5e-05,0.0,
<class 'key_rate_optimization.tgs_a_routine'>,628318.5307179586,1e-05,1000000.0,1,0,5e-05,0.0,
<class 'key_rate_optimization.tgs_a_routine'>,628318.5307179586,0.0001,1000000.0,1,0,5e-05,0.0,
<class 'key_rate_optimization.tgs_a_routine'>,628318.5307179586,0.001,1000000.0,1,0,5e-05,0.0,
<class 'key_rate_optimization.tgs_a_routine'>,628318.5307179586,0.01,1000000.0,1,0,5e-05,0.0,
